,Test_Sample1,Test_Sample2,Test_Sample3,Control_Sample1,Control_Sample2,Control_Sample3
ENSMUSG00000104488,9.1371328849811,9.24844599734585,8.83783595083477,9.27409870484592,8.99105906281531,8.91500312300994
ENSMUSG00000102721,9.03652436705469,9.24350668078185,9.0264203607345,8.97343258164216,8.92160317958209,8.51544999843199
ENSMUSG00000026107,9.31579615059367,9.42362014702946,9.30589133561513,9.47635900753594,9.66709759933882,9.45132121547837
ENSMUSG00000026473,11.8013494312845,11.1628445058956,12.1894747630262,11.8517156198194,11.6351108515255,11.6854862633487
ENSMUSG00000067158,8.51544999843199,8.51544999843199,8.51544999843199,8.84118083742487,8.6803961215953,8.51544999843199
ENSMUSG00000056708,9.13236442243319,9.0704678835545,8.87757899716123,9.09205292145991,9.37796418359271,8.94350378773182
ENSMUSG00000026471,8.81383110574271,8.92510140957036,8.65187603023146,8.67448445603769,8.82456847947222,8.68962058518142
ENSMUSG00000026470,9.04383712801579,9.45323744899295,9.02825821343862,9.30359396163803,9.34243935552999,9.11008669058759
ENSMUSG00000026150,9.75613662303599,9.46382611508002,9.3906106106659,9.61068497607994,9.3921534864469,9.69895070472962
ENSMUSG00000101450,8.67977693736175,8.79074113917259,8.62988664820193,8.76496787253306,8.67648778441633,8.60117991750644
ENSMUSG00000026149,8.65306843939761,8.89039785257104,8.59051940625735,8.51544999843199,8.60240054378197,8.51544999843199
ENSMUSG00000026469,11.2026847622482,11.519074647455,11.7194478360816,11.3831684467621,11.2852034818995,11.2999861866965
ENSMUSG00000018417,8.99100069544202,9.03123497478431,8.84738696165565,8.88487308696803,8.97500266339972,8.65404037831981
ENSMUSG00000026490,8.70521359480047,8.74609615027342,8.77023398416325,8.75357701188502,8.82791157464338,8.94856183580758
ENSMUSG00000033701,8.71076020557003,8.91724708978586,8.86380404621144,8.97629452422598,8.51544999843199,8.9228937041886
ENSMUSG00000033684,8.7488479148772,8.7164823626825,8.89774255732967,8.80571891701329,8.62633649980408,8.87972348656909
ENSMUSG00000033671,10.8493979345119,10.779850199887,10.5966928221224,10.5613864893677,10.7073514548412,10.6747917608112
ENSMUSG00000026489,8.84581276133702,8.67555681163694,8.69796688726678,8.51544999843199,8.51544999843199,8.70662473761934
ENSMUSG00000026159,9.59649990067474,9.72200659401725,9.86268727432196,9.65703953714336,9.47226092760977,9.71753150827051
ENSMUSG00000026466,9.9464982839749,9.82275426322816,9.91258862071012,9.88755881864117,9.89309319141146,9.71100375893835
ENSMUSG00000102964,8.89016345417915,8.97287898976358,8.82082371453531,8.51544999843199,8.67648778441633,8.80035318245554
ENSMUSG00000010609,8.91895389548804,9.33708227768419,9.34975549322477,9.41312086297175,9.17390796102208,9.25559560573701
ENSMUSG00000038855,10.0201377519342,10.1213725463519,10.2996643762775,10.1941921685048,10.1835119890871,10.1391870205574
ENSMUSG00000104388,9.29939241508073,9.35613884773861,9.24510372986443,9.12743042769182,9.25990318414341,9.42843230673887
ENSMUSG00000103123,8.85061399160304,8.94308735348205,8.79334298988364,8.73822074465105,8.70334374305753,8.76249557021991
ENSMUSG00000103772,9.1013523544088,9.03347390524636,8.92797869323633,8.88812391881404,8.89174812243924,8.90433931143622
ENSMUSG00000053963,8.64688138975712,8.61864035444542,8.60214105542324,8.53304627049137,8.51544999843199,8.5310341879883
ENSMUSG00000102608,8.51544999843199,8.51544999843199,8.51544999843199,8.71087491130872,8.64388620048492,8.51544999843199
ENSMUSG00000045658,11.2509532076241,10.946826283027,11.711546306316,11.0747785201029,11.3754281374373,11.3273784489537
ENSMUSG00000050565,10.0403995945471,10.1188710604045,10.107752722055,9.90663887520113,10.0257732123016,9.77898708001081
ENSMUSG00000102750,9.39037500246954,8.90126376096183,9.17616677356665,9.09687922157955,9.44865205809989,9.33329240853809
ENSMUSG00000101934,8.90360141491567,8.63876366355902,8.91733219722496,8.51544999843199,8.51544999843199,8.89350733984224
ENSMUSG00000098851,8.77008820901288,8.62279728653616,8.62660289220038,8.82718898980385,8.72201204533028,8.74957843322881
ENSMUSG00000036766,8.51544999843199,8.65760080942779,8.7198519527024,8.69894051753084,8.87319376069832,8.6427327892021
